#,Section,Box ID,Min,Max,Mode
1,E,E40,<7.62,<7.62,<7.62
2,E,E62,<1.8,>7.62,<1.8
3,E,E65,<1.8,>7.62,<1.8
4,E,E71,<2.4,>7.62,<3
5,E,E84,<3,>7.62,<6
6,E,E93,<6,>7.62,<6
7,E,E4,<6,<7.62,<7.62
8,E,E7,>15,>15,>15
9,E,E22,<4.57,<4.57,<4.57
10,E,E23,0,0,0
11,S,S20,>30.5,>30.5,>30.5
12,S,S34,>30.5,>30.5,>30.5
13,S,S7,>6,>9,>7.62
14,S,S11,>9,>9,>9
15,S,S46,>9,>9,>9
16,S,S38,<3,<6,<4.6
17,S,S40,0,<4.6,<2.44
18,S,S14,<6,<12,<12
19,S,S48,<1.8,<4.6,>4.6
20,S,S44,<7.62,<9,<9
21,N,N86,>9,>15,>9
22,N,N93,>9,>15,>9
23,N,N96,>9,>15,>9
24,N,N2,>9,>15,>9
25,N,N73,>7.62,>15,>7.62
26,N,N47,>7.62,>15,>7.62
27,N,N58,<1.5,<10,<1.5
28,N,N62,<2.44,>4.6,<2.44
29,N,N68,<4.6,>4.6,>4.6
30,N,N70,<4.6,>4.6,<4.6
